date,A2C,DDPG,PPO,TD3,SAC
2022-04-20,186726.3002718585,223857.57752677184,193291.73270855748,186852.47129278592,234526.88221354716
2022-04-21,187688.5284823077,225894.70519705993,197961.82808941684,187846.39872198514,239398.61451335184
2022-04-22,185026.50327478818,222349.1434294818,195805.3010813602,185115.28141241483,238195.96354289286
2022-04-25,180892.14530359677,217559.28527518493,192119.89129132114,181015.31083136014,233959.5228995823
2022-04-26,182721.6359041827,221306.57294913512,196959.81444805942,182870.6449988406,233765.2550467991
2022-04-27,179727.437967171,219379.7355162738,194131.583429993,179845.00974493436,234850.1535148167
2022-04-28,181521.26639734677,221455.92249747497,196266.98702496372,181663.37681036405,236364.26005168192
2022-04-29,181925.35233484677,219262.47906180602,194754.20363873325,181996.1736243289,234103.68384928934
2022-05-02,150.2138460772294,397.0841643450724,61390.73275250279,65.96695928982115,212.29099650615183
2022-05-04,179133.24021326474,215130.2954985736,188827.6193964237,179035.0727332156,229690.82673259013
2022-05-05,174671.2232454913,215750.60844107848,186103.76448315463,174532.6440222781,231713.2257804417
2022-05-06,170651.500467171,216552.05224295837,183863.45561474643,170360.12027960233,226446.41007609598
2022-05-09,171275.2525423663,210951.91006156188,179543.81788891635,171030.45340948514,227306.2183646702
2022-05-10,174918.89353357724,211212.02996512633,176883.05171459995,174722.5424597781,226704.03248210184
2022-05-11,174031.79422937802,210676.00416251403,175088.9693476566,173851.74631719998,225090.1176261448
2022-05-12,170086.43049036435,204318.04879447204,170950.2847468265,169821.01267462186,224942.2599296116
2022-05-13,170445.5831698077,203416.26463004333,172355.44508618198,170067.97617559842,225077.14338298075
2022-05-16,165369.45765100888,203425.99627372008,172941.81328076206,165102.24344854764,222690.11545999188
2022-05-17,168130.17167078427,206235.07514640075,178688.26652783237,167819.66501837186,227663.8389402165
2022-05-18,171448.721170296,203614.9075286029,178601.1539179691,171036.28873663358,227439.07096536297
2022-05-19,167584.81803308896,193789.89291068297,173984.73503369174,166926.43949346952,215731.79627664227
2022-05-20,168784.6168001788,199067.41402884704,181543.22621411167,168208.3577673953,217264.03446633954
2022-05-23,168615.9373972247,198868.37900305967,181361.70680816684,168040.1843765872,217046.7714708714
2022-05-24,168615.9373972247,198868.37900305967,181361.70680816684,168040.1843765872,217046.7714708714
2022-05-25,166387.82318680602,194307.21465824157,180621.42074600255,165628.97672976714,208839.99618272446
2022-05-26,166221.5460974811,194113.02385575132,180440.80600918614,165463.4854562381,208631.19629258773
